lcbo_name,size-mL,container,price,critic,critic_score,unit_price,lcbo_region,lcbo_country,vintage,viv_name,viv_region,viv_country,score,num_reviews,fwscore1,fwscore2,fwscore3,fwscore4
Château Pichon-Longueville Baron,6000,bottle,2200.0,JS,94.0,0.36666666666666664,Bordeaux,France,2012,Flouch Château Pichon-Longueville Baron Pomerol,Pomerol,France,4.4,31,81,100,81,100
Château Haut-Brion,750,bottle,2195.0,RP,99.0,2.9266666666666667,Bordeaux,France,2000,Château Larrivet Haut-Brion Le Bordeaux,Bordeaux,France,3.6,972,63,67,62,100
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino (Magnum),1500,bottle,2100.0,VIN,97.0,1.4,Tuscany,Italy,1990,Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366,82,84,94,100
Château Latour,750,bottle,2035.0,RP,98.0,2.7133333333333334,Bordeaux,France,2005,A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18,58,100,58,100
Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape,1500,bottle,2000.0,RP,98.0,1.3333333333333333,Rhône,France,2000,Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape,Châteauneuf-du-Pape,France,4.5,4646,100,100,100,100
Único Reserva Especial,1500,bottle,2000.0,none,0.0,1.3333333333333333,Ribera del Duero,Spain,,Vega Sicilia Unico Reserva Especial Edición,Ribera del Duero,Spain,4.7,10866,65,95,51,86
Alión,6000,bottle,2000.0,none,0.0,0.3333333333333333,Ribera del Duero,Spain,,Alión Ribera del Duero,Ribera del Duero,Spain,4.4,49877,37,100,32,100
Masseto,1500,bottle,1945.0,RP,97.0,1.2966666666666666,Tuscany,Italy,2017,Masseto Toscana,Toscana,Italy,4.7,12022,64,100,64,100
Luce Lux Vitis,6000,bottle,1847.0,JS,97.0,0.30783333333333335,Tuscany,Italy,2017,Luce della Vite Lux Vitis,Toscana,Italy,4.4,179,72,79,72,100
Maison Leroy Gevrey-Chambertin,750,bottle,1770.0,none,0.0,2.36,Burgundy,France,2005,Leroy Gevrey-Chambertin,Gevrey-Chambertin,France,4.3,230,87,100,87,100
Domaine Ponsot Cuvée Vieilles Vignes Clos de la Roche Grand Cru,1500,bottle,1770.0,RP,96.0,1.18,Burgundy,France,2017,Domaine Ponsot Clos de la Roche Grand Cru Cuvée Vieilles Vignes,Clos de la Roche Grand Cru,France,4.4,1957,65,65,100,100
Domaine Ponsot Cuvée Vieilles Vignes Clos de la Roche Grand Cru,1500,bottle,1770.0,RP,97.0,1.18,Burgundy,France,2016,Domaine Ponsot Clos de la Roche Grand Cru Cuvée Vieilles Vignes,Clos de la Roche Grand Cru,France,4.4,1957,65,65,100,100
Château Latour,750,bottle,1750.0,RP,99.0,2.3333333333333335,Bordeaux,France,1996,A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18,58,100,58,100
Domaine De Chevalier,6000,bottle,1748.0,JS,96.0,0.29133333333333333,Bordeaux,France,2010,Domaine de Chevalier Le Port de la Lune Bordeaux,Bordeaux,France,3.3,17,56,95,59,100
Col d'Orcia Brunello di Montalcino (Double Magnum),3000,bottle,1734.0,VIN,92.0,0.578,Tuscany,Italy,1995,Tenuta Col D'Orcia Riserva Brunello di Montalcino,Toscana,Italy,4.4,38,67,67,70,83
Domaine Leroy Nuits-St-Georges Aux Lavieres,750,bottle,1730.0,RP,95.0,2.3066666666666666,Burgundy,France,2011,Domaine Jean Grivot Nuits-St-Georges Aux Lavières,Nuits-Saint-Georges,France,4.0,430,87,81,79,79
Domaine Leroy Vosne Romanee Aux Genaivrieres,750,bottle,1695.0,RP,89.0,2.26,Burgundy,France,2013,Leroy Vosne-Romanée 'Les Genaivrières',Vosne-Romanée,France,4.5,311,73,81,77,77
Château Margaux,750,bottle,1695.0,RP,99.0,2.26,Bordeaux,France,2010,G.G. Ochsner Chateau Margaux Bordeaux,Médoc,France,0.0,0,54,93,56,67
M. Chapoutier Ermitage Le Pavillon,1500,bottle,1685.0,RP,100.0,1.1233333333333333,Rhône,France,2009,M. Chapoutier Ermitage Le Pavillon,Hermitage,France,4.5,2470,100,100,100,100
Valbuena,3000,bottle,1650.0,none,0.0,0.55,Ribera del Duero,Spain,,Converso Monasterio Santa Maria de Valbuena Ribera del Duero,Ribera del Duero,Spain,4.2,171,24,100,24,100
Château Troplong Mondot,3000,bottle,1595.0,RP,98.0,0.5316666666666666,Bordeaux,France,2010,Château Troplong Mondot Un Amour de Mondot,Saint-Émilion,France,4.3,29,71,100,70,100
Macán,6000,bottle,1589.0,none,0.0,0.2648333333333333,Rioja,Spain,,Benjamin de Rothschild - Vega Sicilia Macán Clásico,Rioja,Spain,4.3,9621,18,100,16,100
Solaia,1500,bottle,1584.0,WS,97.0,1.056,Tuscany,Italy,2005,Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845,29,100,31,100
Único,1500,bottle,1580.0,RP,98.0,1.0533333333333332,Ribera del Duero,Spain,2006,Vega Sicilia Unico,Ribera del Duero,Spain,4.7,33882,35,80,36,36
Pingus,750,bottle,1575.0,RP,95.0,2.1,Ribera del Duero,Spain,2011,Dominio de Pingus Flor de Pingus,Ribera del Duero,Spain,4.5,23145,32,100,32,100
Alvaro Palacios L'Ermita,750,bottle,1500.0,RP,97.0,2.0,Priorat,Spain,2015,Álvaro Palacios L'Ermita Velles Vinyes Priorat,Priorat,Spain,4.6,1730,66,96,49,83
Domaine de la Romanée-Conti La Tâche Grand Cru,750,bottle,1500.0,none,0.0,2.0,Burgundy,France,,Domaine de La Romanée-Conti La Tâche Grand Cru,La Tâche Grand Cru,France,4.7,7652,98,98,100,100
Château Latour,750,bottle,1470.0,RP,95.0,1.96,Bordeaux,France,2001,A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18,58,100,58,100
Domaine de la Romanée-Conti Romanée-St-Vivant Grand Cru,750,bottle,1400.0,none,0.0,1.8666666666666667,Burgundy,France,,Domaine de La Romanée-Conti Romanée-Saint-Vivant Grand Cru (Marey-Monge),Romanée-Saint-Vivant Grand Cru,France,4.7,4893,85,93,88,97
Château Canon,3000,bottle,1380.0,RP,97.0,0.46,Bordeaux,France,2009,Château Canon Montségur Bordeaux,Bordeaux,France,3.3,77,58,100,57,100
Château Latour,750,bottle,1355.0,WE,97.0,1.8066666666666666,Bordeaux,France,2011,A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18,58,100,58,100
Château Latour,750,bottle,1355.0,WE,97.0,1.8066666666666666,Bordeaux,France,2011,A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18,58,100,58,100
Château Latour,750,bottle,1335.0,DEC,98.0,1.78,Bordeaux,France,2008,Château Latour Grand Vin Pauillac (Premier Grand Cru Classé),Pauillac,France,4.6,29392,38,100,38,100
Solaia,1500,bottle,1320.0,VIN,96.0,0.88,Tuscany,Italy,2009,Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845,29,100,31,100
Château Latour,750,bottle,1318.0,WE,97.0,1.7573333333333334,Bordeaux,France,2004,A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18,58,100,58,100
Château Montrose,1500,bottle,1308.0,RP,100.0,0.872,Bordeaux,France,2009,Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19,39,75,34,57
Château du Tertre,5000,bottle,1300.0,JS,92.0,0.26,Bordeaux,France,2005,Château du Tertre Bordeaux,Bordeaux,France,3.3,614,79,100,78,100
Domaine de la Romanée-Conti Richebourg Grand Cru,750,bottle,1300.0,none,0.0,1.7333333333333334,Burgundy,France,,Domaine de La Romanée-Conti Richebourg Grand Cru,Richebourg Grand Cru,France,4.7,4167,98,98,100,100
Château Clos du Marquis,6000,bottle,1300.0,JS,95.0,0.21666666666666667,Bordeaux,France,2009,Château Le Clos du Merle Bordeaux,Bordeaux,France,3.5,79,68,78,63,78
M. Chapoutier Ermitage Le Méal,1500,bottle,1269.0,RP,99.0,0.846,Rhône,France,2009,M. Chapoutier Ermitage Le Méal,Hermitage,France,4.4,1159,100,100,100,100
Fontanafredda Riserva Barolo,750,bottle,1266.0,none,0.0,1.688,Piedmont,Italy,1961,Fontanafredda Barolo Riserva,Barolo,Italy,4.1,1951,75,75,100,100
Solaia,1500,bottle,1258.0,JS,96.0,0.8386666666666667,Tuscany,Italy,2003,Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845,29,100,31,100
Pintia,6000,bottle,1247.0,none,0.0,0.20783333333333334,Toro,Spain,,Pintia Toro,Toro,Spain,4.3,42470,71,100,71,100
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella,1500,bottle,1241.0,JS,97.0,0.8273333333333334,Veneto,Italy,2010,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848,73,73,100,100
Luce,6000,bottle,1230.0,JS,97.0,0.205,Tuscany,Italy,2017,Luce della Vite Luce,Toscana,Italy,4.4,12362,33,100,33,100
Promontory,750,bottle,1200.0,VIN,100.0,1.6,California,USA,,Scotto Family Cellars USA Cabernet,California,USA,3.4,83,18,30,23,23
Château Margaux,750,bottle,1200.0,RP,96.0,1.6,Bordeaux,France,2012,Château La France Bordeaux,Bordeaux,France,3.7,79,63,73,46,60
Château Haut-Brion,750,bottle,1178.85,RP,97.0,1.5717999999999999,Bordeaux,France,2016,Château Larrivet Haut-Brion Le Bordeaux,Bordeaux,France,3.6,972,63,67,62,100
Château Haut-Brion,750,bottle,1178.85,RP,97.0,1.5717999999999999,Bordeaux,France,2016,Château Larrivet Haut-Brion Le Bordeaux,Bordeaux,France,3.6,972,63,67,62,100
Château Beausejour Duffau-Lagarosse,1500,bottle,1175.0,none,0.0,0.7833333333333333,Bordeaux,France,,Château Beausejour (héritiers Duffau-Lagarrosse) Saint-Émilion Grand Cru (Premier Grand Cru Classé),Saint-Émilion Grand Cru,France,4.2,3134,52,69,54,83
Bryant Family Vineyard Cabernet Sauvignon,750,bottle,1150.0,RP,100.0,1.5333333333333334,California,USA,2016,Bryant Family Vineyard DB,Napa Valley,USA,4.5,81,70,92,73,94
Château Margaux,750,bottle,1145.0,RP,94.0,1.5266666666666666,Bordeaux,France,2006,Château La France Bordeaux,Bordeaux,France,3.7,79,63,73,46,60
Henschke Hill of Grace Shiraz,750,bottle,1130.0,AWC,98.0,1.5066666666666666,South Australia,Australia,2014,Julia Hill Wines Julia Hill,Coonawarra,Australia,3.7,21,36,38,36,44
Sassicaia,3000,bottle,1115.0,WE,97.0,0.37166666666666665,Tuscany,Italy,2017,Tenuta San Guido Sassicaia,Bolgheri Sassicaia,Italy,4.6,79429,51,100,51,100
Biondi Santi Riserva Brunello di Montalcino,750,bottle,1105.0,RP,97.0,1.4733333333333334,Tuscany,Italy,1998,Biondi-Santi Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.6,2811,79,79,100,100
Château Canon,1500,bottle,1100.0,RP,98.0,0.7333333333333333,Bordeaux,France,2015,Château Canon Montségur Bordeaux,Bordeaux,France,3.3,77,58,100,57,100
Tignanello,1500,bottle,1090.0,WS,96.0,0.7266666666666667,Tuscany,Italy,1997,Antinori Tignanello,Toscana,Italy,4.5,102434,69,100,69,100
Marchesi di Barolo Barolo,750,bottle,1089.0,none,0.0,1.452,Piedmont,Italy,1974,Marchesi di Barolo Grignolino Piemonte,Piemonte,Italy,3.4,402,73,84,63,100
Château Haut-Bailly,1500,bottle,1060.0,RP,100.0,0.7066666666666667,Bordeaux,France,2009,Château Haut-Bailly Rosé de Haut-Bailly Bordeaux,Bordeaux,France,3.8,162,57,100,56,100
Fontanafredda Riserva Barolo,750,bottle,1055.0,none,0.0,1.4066666666666667,Piedmont,Italy,1967,Fontanafredda Barolo Riserva,Barolo,Italy,4.1,1951,75,75,100,100
Château Haut-Brion,750,bottle,1043.0,RP,96.0,1.3906666666666667,Bordeaux,France,2006,Château Larrivet Haut-Brion Le Bordeaux,Bordeaux,France,3.6,972,63,67,62,100
Kapcsándy Grand Vin Cabernet Sauvignon,750,bottle,1039.0,VIN,98.0,1.3853333333333333,California,USA,2014,Kapcsandy State Lane Vineyard Cabernet Sauvignon Grand-Vin,Napa Valley,USA,4.6,662,71,71,78,86
Château Rauzan-Ségla,3000,bottle,1020.0,RP,97.0,0.34,Bordeaux,France,2015,Château Rauzan-Ségla Ségla Margaux,Margaux,France,4.1,9562,74,100,73,100
Wakefield The Legacy Cabernet Sauvignon,750,bottle,995.0,TRR,98.0,1.3266666666666667,South Australia,Australia,2014,Taylors / Wakefield Jaraman Cabernet Sauvignon,South Australia,Australia,3.8,2518,71,80,77,84
Clarnedon Hills Astralis Syrah,1500,bottle,993.0,RP,99.0,0.662,South Australia,Australia,2005,Clarendon Hills Moritz Syrah,South Australia,Australia,4.1,407,79,75,69,69
AF Gros Richebourg Grand Cru,750,bottle,990.2,none,0.0,1.3202666666666667,,France,2013,A.F. Gros Richebourg Grand Cru,Richebourg Grand Cru,France,4.4,785,97,96,95,98
Masi Mazzano Amarone della Valpolicella Classico,3000,bottle,990.0,WS,94.0,0.33,Veneto,Italy,2006,Masi Mazzano Amarone Della Valpolicella Classico,Amarone della Valpolicella Classico,Italy,4.5,2314,98,98,100,100
Château Palmer,750,bottle,980.0,WS,96.0,1.3066666666666666,Bordeaux,France,2000,Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19,31,64,35,63
Château Palmer,750,bottle,980.0,RP,97.0,1.3066666666666666,Bordeaux,France,2005,Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19,31,64,35,63
Château Palmer,750,bottle,980.0,RP,98.0,1.3066666666666666,Bordeaux,France,2010,Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19,31,64,35,63
Fontanafredda Riserva Barolo,750,bottle,980.0,none,0.0,1.3066666666666666,Piedmont,Italy,1974,Fontanafredda Barolo Riserva,Barolo,Italy,4.1,1951,75,75,100,100
Château Pichon-Longueville Baron,1500,bottle,950.0,RP,97.0,0.6333333333333333,Bordeaux,France,2010,Flouch Château Pichon-Longueville Baron Pomerol,Pomerol,France,4.4,31,81,100,81,100
Clos Fourtet,1500,bottle,950.0,RP,98.0,0.6333333333333333,Bordeaux,France,2005,Clos Fourtet Saint-Émilion Grand Cru (Premier Grand Cru Classé),Saint-Émilion Grand Cru,France,4.3,5951,32,100,34,100
Colgin IX Estate Red,750,bottle,950.0,RP,100.0,1.2666666666666666,California,USA,2016,Colgin IX Estate Red,Napa Valley,USA,4.7,2004,100,100,100,100
Luce,3000,bottle,946.0,WE,92.0,0.31533333333333335,Tuscany,Italy,2000,Luce della Vite Luce,Toscana,Italy,4.4,12362,33,100,33,100
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino (Magnum),1500,bottle,946.0,VIN,95.0,0.6306666666666667,Tuscany,Italy,2004,Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366,82,84,94,100
Alión,3000,bottle,930.0,none,0.0,0.31,Ribera del Duero,Spain,,Alión Ribera del Duero,Ribera del Duero,Spain,4.4,49885,37,100,32,100
Roberto Voerzio Torriglione Barolo,1500,bottle,930.0,none,0.0,0.62,Piedmont,Italy,2014,Roberto Voerzio Rocche dell'Annunziata Torriglione Barolo,Barolo,Italy,4.5,977,75,65,75,100
Continuum,1500,bottle,930.0,VIN,100.0,0.62,California,USA,2016,Scotto Family Cellars USA Cabernet,California,USA,3.4,83,19,33,23,23
Maison Leroy Gevrey-Chambertin,750,bottle,920.0,none,0.0,1.2266666666666666,Burgundy,France,2015,Leroy Gevrey-Chambertin,Gevrey-Chambertin,France,4.3,230,87,100,87,100
Col d'Orcia Brunello di Montalcino (Magnum),1500,bottle,919.0,VIN,93.0,0.6126666666666667,Tuscany,Italy,1999,Tenuta Col D'Orcia Riserva Brunello di Montalcino,Toscana,Italy,4.4,38,72,78,76,91
Macán Clásico,6000,bottle,916.0,none,0.0,0.15266666666666667,Rioja,Spain,,Benjamin de Rothschild - Vega Sicilia Macán Clásico,Rioja,Spain,4.3,9632,41,100,38,100
Antinori Guado al Tasso,1500,bottle,911.0,WS,94.0,0.6073333333333333,Tuscany,Italy,1996,Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1193,71,74,71,100
Torbreck The Laird,750,bottle,900.0,RP,98.0,1.2,South Australia,Australia,2010,Torbreck The Laird,Barossa Valley,Australia,4.7,417,100,100,100,100
Maison Leroy Pommard,750,bottle,900.0,none,0.0,1.2,Burgundy,France,2003,Leroy Pommard 'Les Vignots',Pommard,France,4.4,328,55,65,67,79
Château Ausone,750,bottle,899.85,RP,93.0,1.1998,Bordeaux,France,2013,Chateau Francesa Bordeaux,Bordeaux,France,0.0,0,51,64,47,47
M. Chapoutier Châteauneuf-du-Pape Barbe Rac,3000,bottle,894.0,RP,96.0,0.298,Rhône,France,2009,M. Chapoutier Châteauneuf-du-Pape Barbe Rac,Châteauneuf-du-Pape,France,4.2,1439,100,100,100,100
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino (Magnum),1500,bottle,894.0,VIN,94.0,0.596,Tuscany,Italy,2001,Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366,82,84,94,100
Biondi Santi Riserva Brunello di Montalcino,750,bottle,890.0,WE,100.0,1.1866666666666668,Tuscany,Italy,2012,Biondi-Santi Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.6,2811,79,79,100,100
Château La Mission Haut-Brion,750,bottle,884.85,RP,98.0,1.1798,Bordeaux,France,2016,Château La Mission Haut-Brion Bordeaux Grand Premier Cru,Bordeaux,France,4.6,24,68,100,67,100
Château La Mission Haut-Brion,750,bottle,884.85,RP,98.0,1.1798,Bordeaux,France,2016,Château La Mission Haut-Brion Bordeaux Grand Premier Cru,Bordeaux,France,4.6,24,68,100,67,100
Château La Mission Haut-Brion,750,bottle,884.85,RP,98.0,1.1798,Bordeaux,France,2016,Château La Mission Haut-Brion Bordeaux Grand Premier Cru,Bordeaux,France,4.6,24,68,100,67,100
Maya,750,bottle,875.0,JD,100.0,1.1666666666666667,California,USA,2015,Scotto Family Cellars USA Cabernet,California,USA,3.4,83,16,25,16,16
Joseph Phelps Insignia,1500,bottle,865.0,RP,99.0,0.5766666666666667,California,USA,2016,Joseph Phelps Insignia,Napa Valley,USA,4.6,23373,100,100,100,100
Louis Latour Les Quatre Journaux Romanée Saint-Vivant Grand Cru,750,bottle,860.0,JS,95.0,1.1466666666666667,Burgundy,France,2017,Louis Latour Romanée-Saint-Vivant Grand Cru Les Quatre Journaux,Romanée-Saint-Vivant Grand Cru,France,4.4,485,67,67,100,100
Domaine Ponsot Cuvée Vieilles Vignes Clos de la Roche Grand Cru,750,bottle,850.0,RP,97.0,1.1333333333333333,Burgundy,France,2016,Domaine Ponsot Clos de la Roche Grand Cru Cuvée Vieilles Vignes,Clos de la Roche Grand Cru,France,4.4,1957,65,65,100,100
Domaine Ponsot Cuvée Vieilles Vignes Clos de la Roche Grand Cru,750,bottle,850.0,RP,96.0,1.1333333333333333,Burgundy,France,2017,Domaine Ponsot Clos de la Roche Grand Cru Cuvée Vieilles Vignes,Clos de la Roche Grand Cru,France,4.4,1957,65,65,100,100
Luce Lux Vitis,3000,bottle,850.0,none,0.0,0.2833333333333333,,Italy,,Luce della Vite Lux Vitis,Toscana,Italy,4.4,179,72,79,72,100
Masseto,750,bottle,840.0,none,0.0,1.12,,Italy,,Masseo Sangiovese,Vino d'Italia,Italy,0.0,0,50,86,50,50
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino (Magnum),1500,bottle,840.0,VIN,95.0,0.56,Tuscany,Italy,2008,Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366,82,84,94,100
Único Reserva Especial,750,bottle,830.0,RP,98.0,1.1066666666666667,Ribera del Duero,Spain,,Vega Sicilia Unico Reserva Especial Edición,Ribera del Duero,Spain,4.7,10866,65,95,51,86
Château Pichon-Longueville Baron,1500,bottle,829.0,RP,96.0,0.5526666666666666,Bordeaux,France,2009,Flouch Château Pichon-Longueville Baron Pomerol,Pomerol,France,4.4,31,81,100,81,100
Marchesi di Barolo Barolo,750,bottle,822.0,none,0.0,1.096,Piedmont,Italy,1982,Marchesi di Barolo Grignolino Piemonte,Piemonte,Italy,3.4,402,73,84,63,100
Eisele Vineyard Cabernet Sauvignon,750,bottle,820.0,RP,100.0,1.0933333333333333,California,USA,2016,Eisele Vineyard Cabernet Sauvignon,Napa Valley,USA,4.6,3073,100,100,100,100
Gaja Sorì San Lorenzo,750,bottle,810.0,RP,95.0,1.08,Piedmont,Italy,2015,Gaja Sorì San Lorenzo,Langhe,Italy,4.6,2841,100,100,100,100
Château Palmer,750,bottle,810.0,RP,95.0,1.08,Bordeaux,France,1999,Château La France Bordeaux Supérieur,Bordeaux Supérieur,France,3.3,2122,44,71,47,63
Gaja Sorì Tildìn Barbaresco,750,bottle,810.0,RP,93.0,1.08,Piedmont,Italy,2015,Gaja Sorì Tildìn (Barbaresco) Langhe,Langhe,Italy,4.6,2917,86,96,88,100
Gaja Costa Russi,750,bottle,800.0,VIN,96.0,1.0666666666666667,Piedmont,Italy,2015,Gaja Costa Russi Grappa,Grappa di Barbaresco,Italy,3.9,31,82,100,82,100
Nipozzano Mormoreto,6000,bottle,799.95,JS,94.0,0.133325,Tuscany,Italy,2016,Castello Nipozzano Mormoreto Toscana,Toscana,Italy,4.2,6483,69,100,69,100
