name,region,size-mL,container,price,critic,critic_score
Domaine du Pavillon Clos des Ursulines Pommard 2016,"Burgundy, France",750,bottle,85.0,WE,93
Val di Suga Vigna del Lago Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,85.0,JS,94
Pine Ridge Napa Cabernet Sauvignon 2017,"California, USA",750,bottle,85.0,JS,92
Frog's Leap Cabernet Sauvignon 2016,"California, USA",750,bottle,84.95,VIN,93
Fabio Green Palma 2018,"Piedmont, Italy",750,bottle,84.7,none,0
Domaine Mouton Cote-Rotie 2015,France,750,bottle,84.45,none,0
Maison Corcia Robardelles 2011,France,750,bottle,84.45,none,0
Burn Cottage Pinot Noir 2016,"Central Otago, New Zealand",750,bottle,84.0,BC,98
Château Lagrange 2017,"Bordeaux, France",750,bottle,84.0,JS,92
Col d'Orcia Brunello di Montalcino 2013,"Tuscany, Italy",750,bottle,84.0,JS,94
Damilano Brunate Barolo 2014,"Piedmont, Italy",750,bottle,84.0,WS,93
Damilano Cerequio Barolo 2014,"Piedmont, Italy",750,bottle,84.0,WS,93
Roda I Reserva 2012,"Rioja, Spain",750,bottle,83.95,TAT,94
Le Marquis de Calon-Ségur Saint Estephe 2016,"Bordeaux, France",750,bottle,83.85,none,0
Altero Etna Rosso DOP 2013,"Sicily, Italy",750,bottle,83.8,none,0
Aldone Merlot Riserva IGT 2013,"Tuscany, Italy",750,bottle,83.75,none,0
Domaine Trapet-Rochelandet Gevrey Chambertin 'Les carougeots' 2012,"Burgundy, France",750,bottle,83.75,none,0
Château Barde-Haut 2005,"Bordeaux, France",750,bottle,83.75,RP,92
Livio Felluga Sosso Friuli Colli 2015,"Friuli, Italy",750,bottle,83.75,none,0
Giacosa Nebbiolo d'Alba Valmaggiore 2018,"Piedmont, Italy",750,bottle,83.05,none,0
Remo Farina Montefante Riserva Amarone della Valpolicella Classico 2013,"Veneto, Italy",750,bottle,83.0,none,0
Pujanza Norte,"Rioja, Spain",750,bottle,83.0,none,0
Domaine de la Charbonnière Les Hautes Brusquières Cuvée Spéciale Châteauneuf-du-Pape 2016,"Rhône, France",750,bottle,83.0,RP,96
Monte Cascas Vinha da Carpanha 2011,"Bairrada, Portugal",750,bottle,83.0,RP,92
Tignanello 2017,"Tuscany, Italy",375,bottle,83.0,RP,96
Domaine Courbis Champelrose Cornas 2017,"Rhône, France",750,bottle,83.0,RP,93
Mastrojanni Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,83.0,JS,97
Château Dauzac 2017,"Bordeaux, France",750,bottle,83.0,DEC,92
Château La Couspaude 2017,"Bordeaux, France",750,bottle,83.0,WE,93
Château Larrivet Haut-Brion 2016,"Bordeaux, France",750,bottle,82.85,DEC,92
Echo de Lynch-Bages 2016,"Bordeaux, France",750,bottle,82.85,WS,90
Tramier Nuits Saint Georges 2015,"Burgundy, France",750,bottle,82.85,none,0
Barge Cote-Rotie Cuvee Plessy 2013,France,750,bottle,82.4,none,0
Chartron & Treuchet Gevrey Chambertin 2015,France,750,bottle,82.05,none,0
Domaine de la Charbonnière Cuvée Vieilles Vignes Châteauneuf-du-Pape 2015,"Rhône, France",750,bottle,82.0,WS,95
Spring Valley Vineyard Frederick 2015,"Washington, USA",750,bottle,82.0,WS,93
Carlo Revello & Figli R.G. Barolo 2015,"Piedmont, Italy",750,bottle,82.0,JS,96
Andretta Brunello di Montalcino 2013,"Tuscany, Italy",750,bottle,82.0,JS,95
Château Chasse-Spleen 2015,"Bordeaux, France",750,bottle,82.0,JS,94
Crissante Capalot Barolo 2012,"Piedmont, Italy",750,bottle,82.0,JS,95
E. Guigal Hermitage 2012,"Rhône, France",750,bottle,82.0,RP,92
Lescure Volnay 2017,"Burgundy, France",750,bottle,82.0,none,0
Auros Napa Valley Cabernet Sauvignon 2016,"California, USA",750,bottle,81.95,none,0
Domaine Chevrot Maranges 1er Cru La Fus 2016,"Burgundy, France",750,bottle,81.9,none,0
JC Cellars St. Peter's Church Zinfandel 2013,"California, USA",750,bottle,81.85,none,0
Domaine Chevrot Maranges 1er Cru 2017,"Burgundy, France",750,bottle,81.6,none,0
Lescure Beaune 1er Cru Les Chouacheux 2017,"Burgundy, France",750,bottle,81.6,none,0
Francois Feuillet Nuits St Georges 2012,"Burgundy, France",750,bottle,81.55,none,0
Jean Monnier Beaune 1er cru Montrevenots 2016,"Burgundy, France",750,bottle,81.4,none,0
Barossa Valley Estate E&E Black Pepper Shiraz 2016,"South Australia, Australia",750,bottle,81.25,WS,93
Luberri Cepas Viejas V de Pago 2015,"Rioja, Spain",750,bottle,81.2,none,0
First Drop Fat of the Land Seppeltsfield Shiraz 2015,"South Australia, Australia",750,bottle,81.0,JS,95
Château Lassègue 2015,"Bordeaux, France",750,bottle,81.0,RP,93
Hoopes Napa Valley Cabernet Sauvignon 2015,"California, USA",750,bottle,81.0,WS,91
Luis Felipe Edwards Mountain Vineyards Cabernet Sauvignon 2014,"Colchagua Valley, Chile",750,bottle,81.0,DES,96
Palladino Barolo DOCG Ornato 2016,Italy,750,bottle,81.0,none,0
Palladino Barolo DOCG Del Comune di Serralung 2016,Italy,750,,81.0,none,0
Dame de Montrose 2011,France,750,bottle,80.85,none,0
Fontalle Chianti Classico Riserva Gran Selezione 2015 2015,Italy,750,bottle,80.8,none,0
"Jeannot Santenay ""Clos de la Comme Dessus"" 2017","Burgundy, France",750,bottle,80.65,none,0
Cirelli Anfora Riserva Rosso,"Abruzzo, Italy",750,bottle,80.5,none,0
Deiss Burlenberg La Colline Brulee 2016,"Alsace, France",750,bottle,80.35,none,0
Fonzone Caccese Scorzagalline Taurasi DOCG Riserva 2012,"Campania, Italy",750,bottle,80.2,none,0
Betz Family Winery La Côte Rousse Syrah 2017,"Washington, USA",750,bottle,80.0,RP,96
Zuccardi Aluvional Altamira Malbec 2011,"Mendoza, Argentina",750,bottle,80.0,RP,94
Henry's Drive Vignerons Magnus Shiraz 2013,"South Australia, Australia",750,bottle,80.0,WS,93
Freemark Abbey Cabernet Sauvignon 2015,"California, USA",750,bottle,80.0,RP,94
Dauvergne Ranvier Vin Rare Côte-Rôtie 2015,"Rhône, France",750,bottle,80.0,WS,94
Domaine Chanson Beaune Clos des Marconnets 1er Cru 2015,"Burgundy, France",750,bottle,80.0,JS,94
Hewitson Old Garden Mourvèdre 2014,"South Australia, Australia",750,bottle,80.0,AWC,97
Clos Du Val Estate Cabernet Sauvignon 2015,"California, USA",750,bottle,80.0,VIN,91
Gabriel Meffre Laurus 2017,"Rhône, France",750,bottle,80.0,JD,91
Susana Balbo Signature La Delfina Altamira 2016,"Mendoza, Argentina",750,bottle,80.0,JS,95
Cordella Brunello di Montalcino 2012,"Tuscany, Italy",750,bottle,80.0,JS,95
Caparzo Vigna la Casa Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,80.0,JS,97
Caparzo La Casa Brunello di Montalcino 2013,"Tuscany, Italy",750,bottle,79.95,RP,94
Trefethen Family Vineyards Cabernet Sauvignon 2015,"California, USA",750,bottle,79.95,WE,95
The Chocolate Block 2018,"Swartland, South Africa",1500,bottle,79.95,VIN,92
Antica Mountain Select Cabernet Sauvignon 2017,"California, USA",750,bottle,79.95,none,0
Beringer Quantum,"California, USA",750,bottle,79.95,none,0
Archimedes Cabernet Sauvignon 2015,"California, USA",750,bottle,79.95,RP,93
Carmen Gold Cabernet Sauvignon 2015,Chile,750,bottle,79.95,none,0
Giacosa Barbera d'Alba Faletto 2018,"Piedmont, Italy",750,bottle,79.85,none,0
Addendum: Napa Valley Cabernet Sauvignon 2014,"California, USA",750,bottle,79.75,RP,93
Domaine Roger Sabon Chateauneuf du Pape Prestige 2018,France,750,bottle,79.6,none,0
Six Sigma Ranch Reserve Tempranillo 2012,"California, USA",750,bottle,79.4,none,0
Apricot Block Shiraz 2016,Australia,750,bottle,79.05,none,0
Château Ducru-Beaucaillou La Croix Cuvée Colbert 2014,"Bordeaux, France",750,bottle,79.0,none,0
Singlefile Frankland River Cabernet Sauvignon 2014,"Western Australia, Australia",750,bottle,79.0,AWC,97
Equis Cornas 2015,"Rhône, France",750,bottle,79.0,WS,95
Olivier Rivière las Viñas de Eusebio 2016,"Rioja, Spain",750,bottle,79.0,RP,94
Poliziano Le Stanze 2016,"Tuscany, Italy",750,bottle,79.0,JS,95
Miller-Cyrot Volnay 2017,"Burgundy, France",750,bottle,79.0,none,0
Val di Suga Poggio al Granchio Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,79.0,JS,94
Caprili Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,79.0,JS,95
Auntsfield Heritage Pinot Noir 2015,"Marlborough, New Zealand",750,bottle,79.0,WO,97
Louis Max Les Lievres Nuits-Saint-Georges 2016,"Burgundy, France",750,bottle,79.0,JS,93
Gulfi Nero Sanlorè,Italy,750,bottle,79.0,none,0
Cadence Tapteil Vineyard Red Blend 2016,"Washington, USA",750,bottle,79.0,WE,94
J. Lohr Cuvée PAU 2015,"California, USA",750,bottle,78.95,WE,92
Coltibuono Montebello 2013,Italy,750,bottle,78.9,none,0
Handley RSM Estate Vineyard Pinot Noir 2016,"California, USA",750,bottle,78.65,none,0
Corcia Morey Saint Denis 2017,France,750,bottle,78.6,none,0
Powell & Son Barossa & Eden Valleys Shiraz 2016,"South Australia, Australia",750,bottle,78.0,RP,94
Gen del Alma Seminare Malbec 2016,"Mendoza, Argentina",750,bottle,78.0,RP,96
Château de Ferrand 2015,"Bordeaux, France",750,bottle,78.0,JS,94
La Réserve de Léoville Barton 2015,"Bordeaux, France",750,bottle,78.0,JS,93
Domaine de Bellene Hommage à Bartolo Mascarello Savigny-lès-Beaune 1er Cru 2017,"Burgundy, France",750,bottle,78.0,WAL,95
Whitehall Lane Cabernet Sauvignon 2016,"California, USA",750,bottle,78.0,JS,91
Follow the Hand Brunello di Montalcino DOCG 2013,Italy,750,bottle,77.85,none,0
Rockpile Zinfandel 2018,"California, USA",750,bottle,77.5,none,0
Paitin Barbaresco Serraboella 2016,"Piedmont, Italy",750,bottle,77.25,none,0
Gevrey Chambertin en Reniard 2011,"Burgundy, France",750,bottle,77.1,none,0
Montefiore Kerem Moshe 2012,"Judean Hills, Israel",750,bottle,77.05,none,0
Domaine de Villeneuve Chateauneuf-du-Pape2012,"Rhône, France",750,bottle,77.05,none,0
Château de Fieuzal 2014,"Bordeaux, France",750,bottle,77.0,WE,93
Chateau Montelena Cabernet Sauvignon 2017,"California, USA",750,bottle,77.0,none,0
La Lecciaia Manapetra Brunello di Montalcino 2012,"Tuscany, Italy",750,bottle,77.0,WAL,95
Katnook Odyssey Cabernet Sauvignon 2014,"South Australia, Australia",750,bottle,77.0,AWC,97
Orin Swift Palermo 2017,"California, USA",750,bottle,77.0,RP,90
Orin Swift Palermo 2016,"California, USA",750,bottle,77.0,RP,90
Terredora Riserva Campore Taurasi 2008,"Campania, Italy",750,bottle,77.0,VIN,93
Tenuta S. Maria La Pieve Riserva Amarone della Valpolicella Classico 2013,"Veneto, Italy",750,bottle,77.0,JS,94
Felton Road Bannockburn Pinot Noir 2018,"Central Otago, New Zealand",750,bottle,77.0,BC,95
Paul Jaboulet Aîné Domaine De La Croix des Vignes 2017,"Rhône, France",750,bottle,77.0,RP,93
Pian delle Vigne Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,76.95,VIN,94
Château Sociando-Mallet 2016,"Bordeaux, France",750,bottle,76.85,RP,92
David Les Masques Red 2013,France,750,bottle,76.8,none,0
Joseph Voillot Volnay 2017,"Burgundy, France",750,bottle,76.7,none,0
J. Vidal-Fleury Cornas 2016,"Rhône, France",750,bottle,76.6,none,0
Cantina del Pino Barbaresco Ovello 2014,"Piedmont, Italy",750,bottle,76.3,none,0
Rockpile Ridge Zinfandel 2016,USA,750,bottle,76.25,none,0
Ruggabellus Efferus Mataro 2015,"South Australia, Australia",750,bottle,76.15,none,0
Domaine Roger Sabon Prestige Chateauneuf du Pape 2017,"Rhône, France",750,bottle,76.15,none,0
Chartron & Trebuchet Aloxe Corton 2014,France,750,bottle,76.1,none,0
Domaine Lionnet Cornas Terre Brulee 2015,"Rhône, France",750,bottle,76.1,none,0
Gamba Starr Road Ranch Old Vine Zinfandel Russian River 2016,"California, USA",750,bottle,76.05,none,0
Gamba Old Vine Zinfandel Starr Road 2016,"California, USA",750,bottle,76.05,none,0
Domaine de la Charbonnière Cuvée Mourre des Perdrix Châteauneuf-du-Pape 2015,"Rhône, France",750,bottle,76.0,WS,94
Amelia Park Reserve Cabernet Sauvignon 2014,"Western Australia, Australia",750,bottle,76.0,AWC,97
San Polo Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,76.0,WS,95
Podere le Ripi Cielo d'Ulisse Brunello di Montalcino 2013,"Tuscany, Italy",750,bottle,76.0,RP,94
Forgeron Anvil Boushey Vineyard Syrah 2016,"Washington, USA",750,bottle,76.0,JD,94
La Fortuna Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,76.0,JS,95
Somerston Priest Ranch Cabernet Sauvignon 2018,"California, USA",750,bottle,76.0,none,0
Ricasoli Colledilà Gran Selezione Chianti Classico,Italy,750,bottle,76.0,none,0
Domaine Ravaut Aloxe Corton Vieilles Vignes 2014,"Burgundy, France",750,bottle,75.85,none,0
Château Barde-Haut 2016,"Bordeaux, France",750,bottle,75.85,RP,92
Carabella Inchinnan Pinot Noir 2012,"California, USA",750,bottle,75.8,none,0
Alario Claudio Barolo Riva DOCG 2016,Italy,750,bottle,75.75,none,0
Domaine Jessiaume Les Brouillar Volnay1er 2017,"Burgundy, France",750,bottle,75.6,none,0
Château Laroze Saint Emlion Gran Cru Classé 2009,"Bordeaux, France",750,bottle,75.55,none,0
Cristoforo Ameri 2015,Italy,750,bottle,75.55,none,0
Six Sigma Ranch Reserve Tempranillo 2013,"California, USA",750,bottle,75.35,none,0
Ulithorne Unicus Shiraz 2016,"South Australia, Australia",750,bottle,75.2,none,0
Gran Bombus Malbec 2016,Argentina,1500,bottle,75.15,none,0
Yalumba The Signature Cabernet Sauvignon/Shiraz 2014,"South Australia, Australia",750,bottle,75.0,AWC,96
Giuseppe Sedilesu Riserva Cannonau di Sardegna 2010,"Sardinia, Italy",750,bottle,75.0,VIN,92
Grand Veneur Les Origines Châteauneuf-du-Pape 2016,"Rhône, France",750,bottle,75.0,RP,95
Craggy Range Sophia 2016,"Hawke's Bay, New Zealand",750,bottle,75.0,JS,96
Domaine l'Or de Line Cuvée Paule Courtil Châteauneuf-du-Pape 2016,"Rhône, France",750,bottle,75.0,RP,96
Il Palagio Sister Moon 2015,"Tuscany, Italy",750,bottle,75.0,JS,94
Domaine de Bellene Vieilles Vignes Nuits-Saint-Georges 2018,"Burgundy, France",750,bottle,75.0,none,0
First Drop Fat of the Land Ebenezer Shiraz 2015,"South Australia, Australia",750,bottle,75.0,JS,94
Château du Tertre 2017,"Bordeaux, France",750,bottle,75.0,WE,93
Château Kirwan 2014,"Bordeaux, France",750,bottle,75.0,WE,94
Gerard Bertrand L'Hospitalitas La Clape 2015,"Languedoc, France",750,bottle,75.0,WS,92
Gérard Bertrand Le Viala 2017,"Midi, France",750,bottle,75.0,GW,92
Paul Jaboulet Aîné Domaine de Roure Crozes-Hermitage 2017,"Rhône, France",750,bottle,75.0,RP,94
Kaiken Mai Malbec 2017,"Mendoza, Argentina",750,bottle,75.0,none,0
Palladino Ornato Barolo 2015,"Piedmont, Italy",750,bottle,75.0,RP,94
Forgeron Dionysus Vineyard Anvil Cabernet Sauvignon 2013,"Washington, USA",750,bottle,75.0,VIN,91
Gerard Bertrand La Forge 2017,"Languedoc, France",750,bottle,75.0,GW,94
Cerbaia Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,75.0,JS,95
Valli Bannockburn Vineyard Pinot Noir,New Zealand,750,bottle,75.0,none,0
Willamette Valley Bernau Block Pinot Noir 2017,"Oregon, USA",750,bottle,75.0,VIN,92
Le Serre Nuove dell'Ornellaia 2018,"Tuscany, Italy",750,bottle,74.95,VIN,90
Ridge Geyserville 2017,"California, USA",750,bottle,74.95,RP,94
Clos Pegase Cabernet Sauvignon 2016,"California, USA",750,bottle,74.95,WAL,92
K Vintners The Beautiful Syrah 2016,"Washington, USA",750,bottle,74.95,JS,96
Amici Cabernet Sauvignon 2016,"California, USA",750,bottle,74.95,WE,94
Clos Pegase Cabernet Sauvignon 2016,"California, USA",750,bottle,74.95,JD,91
Lescure Beaune Chouacheux 2015,France,750,bottle,74.9,none,0
Château Berliquet 2016,"Bordeaux, France",750,bottle,74.85,RP,91
Somnio Brunello di Montalcino DOCG 2013,Italy,750,bottle,74.8,none,0
Cosimo Sanforte 2016,"Tuscany, Italy",750,bottle,74.75,none,0
Mouchão Red 2013,"Alentejo, Portugal",750,bottle,74.5,none,0
Plantagenet Wyjup Collectioin Cabernet Sauvignon 2018,Australia,750,bottle,74.4,none,0
Pansiot Marsannay Champs Perdrix 2013,"Burgundy, France",750,bottle,74.35,none,0
Lleiroso Reserva Edición Especial Sergio Hernández 2011,"Ribera del Duero, Spain",750,bottle,74.3,none,0
Chateau Bellevue de Tayac 2014,"Bordeaux, France",750,bottle,74.25,none,0
Orma 2017,"Tuscany, Italy",750,bottle,74.25,JS,95
Dry River Syrah 2013,"Martinborough, New Zealand",750,bottle,74.15,none,0
Fanti Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,74.0,JS,95
Casaloste Gran Selezione Chianti Classico 2015,"Tuscany, Italy",750,bottle,74.0,JS,95
Silvio Grasso Giachini Barolo 2015,"Piedmont, Italy",750,bottle,74.0,JS,94
François Villard Malfondières Crozes Hermitage 2017,"Rhône, France",750,bottle,74.0,RP,91
Vincent Latour Volnay Cuvee Nathan 2017,"Burgundy, France",750,bottle,73.8,none,0
Domaine Ratte Trousseau 2018,"Jura, France",750,bottle,73.65,none,0
Villeneuve Chateauneuf du Pape 2016,"Rhône, France",750,bottle,73.5,none,0
Manincor Cassiano 2016,"Alto Adige, Italy",750,bottle,73.15,none,0
Domaine Drouhin Oregon Roserock Zéphirine Pinot Noir 2016,"Oregon, USA",750,bottle,73.0,JS,97
Brezza Cannubi Barolo 2014,"Piedmont, Italy",750,bottle,73.0,WE,93
Garmón Continental Tinto 2016,"Ribera del Duero, Spain",750,bottle,73.0,RP,93
Mocali Vigna delle Raunate Brunello di Montalcino 2013,"Tuscany, Italy",750,bottle,73.0,WS,94
Le Dix de Los Vascos 2016,"Colchagua Valley, Chile",750,bottle,73.0,GD,96
Podere Brizio Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,73.0,JS,94
Château Grand-Puy Ducasse 2017,"Bordeaux, France",750,bottle,73.0,JS,91
Château Gloria 2017,"Bordeaux, France",750,bottle,73.0,VIN,91
Corte San Benedetto Amarone della Valpolicella Classico 2012,"Veneto, Italy",750,bottle,73.0,JS,92
Château La Croix Toulifaut 2006,"Bordeaux, France",750,bottle,73.0,none,0
La Gerla Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,73.0,JS,93
Fratelli Serio & Battista Cannubi Barolo 2015,"Piedmont, Italy",750,bottle,73.0,WE,93
Betz Family Winery Clos de Betz Red 2014,"Washington, USA",750,bottle,73.0,RP,95
Nicolay Ladoix Les Briquottes 2017,"Burgundy, France",750,bottle,72.9,none,0
Mauro Molino Barolo Gallinotto DOCG 2015,"Piedmont, Italy",750,bottle,72.8,none,0
Cantina del Pino Barbaresco Gallina 2014,"Piedmont, Italy",750,bottle,72.8,none,0
Cantina del Pino Barbaresco Albesan 2014,"Piedmont, Italy",750,bottle,72.8,none,0
Domaine Ravaut Ladoix 1er Cru Corvee 2014,"Burgundy, France",750,bottle,72.6,none,0
Chevalier Aloxe Corton 2015,"Burgundy, France",750,bottle,72.4,none,0
Chianti Classico Gran Selezione 2015,Italy,750,bottle,72.35,none,0
Monticello Vineyards Estate Napa Syrah 2013,"California, USA",750,bottle,72.2,none,0
Youngberg Hill J Block Pinot Noir 2016,"Oregon, USA",750,bottle,72.0,JS,95
Orin Swift Machete 2017,"California, USA",750,bottle,72.0,RP,91
G. Campagnola Caterina Zardini Riserva Amarone della Valpolicella Classico 2013,"Veneto, Italy",750,bottle,72.0,RP,93
Château Moulin de la Rose 2014,"Bordeaux, France",750,bottle,72.0,WE,93
Manifesto 2016,"Douro, Portugal",750,bottle,72.0,none,0
Osborne Solaz Tempranillo Cabernet Offer,"Rueda, Spain",6,bottle,72.0,none,0
Storybook Mountain Mayacamas Range Zinfandel 2016,"California, USA",750,bottle,71.95,none,0
Pio Cesare Barolo 2014,"Piedmont, Italy",750,bottle,71.95,JS,94
Renato Ratti Marcenasco Barolo 2015,"Piedmont, Italy",750,bottle,71.95,WE,96
Fabio Gea Back Grin 2018,"Piedmont, Italy",750,bottle,71.65,none,0
Gallen de Château Meyre 2015,"Bordeaux, France",750,bottle,71.35,none,0
Lou Miranda Estate Old Vine Shiraz Mourvedre 2013,"South Australia, Australia",750,bottle,71.3,none,0
COS Delle Fontane 2014,Italy,750,bottle,71.3,none,0
Doña Paula El Alto Malbec 2013,Argentina,750,bottle,71.15,none,0
Lykos Cabernet Sauvignon 2015,Greece,750,bottle,71.1,none,0
Cuvee Fine Roch Châteauneuf-du-Pape 2015,France,750,bottle,71.0,none,0
Castello Romitorio Brunello di Montalcino,"Tuscany, Italy",750,bottle,71.0,none,0
Campo Eliseo,Spain,750,bottle,71.0,none,0
Ca' Romé Romano Marengo Cerretta Barolo 2012,"Piedmont, Italy",750,bottle,70.95,JS,95
Peique Garnacha Tintorera 2011,"Bierzo, Spain",750,bottle,70.95,none,0
Goldeneye Pinot Noir 2016,"California, USA",750,bottle,70.95,VIN,92
Ca La Bionda Corvina Veronese 2013,"Veneto, Italy",750,bottle,70.8,none,0
Corazon del Sol Soleado Bordeaux Blend 2013,Argentina,750,bottle,70.25,none,0
L'Astemia Pentita Barolo DOCG 2015,"Piedmont, Italy",750,bottle,70.25,none,0
Rigoloccio Abudantia Merlot IGT 2011,Italy,750,bottle,70.05,none,0
Domaine Chanson Beaune Teurons 1er Cru 2013,"Burgundy, France",750,bottle,70.0,WE,93
Torres Mas La Plana Cabernet Sauvignon 2015,"Penedès, Spain",750,bottle,70.0,RP,93
Manzone Gramolere Barolo 2013,"Piedmont, Italy",750,bottle,70.0,RP,94
Alpha Crucis Shiraz 2015,"South Australia, Australia",750,bottle,70.0,AWC,97
Paternoster Don Anselmo Aglianico del Vulture 2013,"Basilicata, Italy",750,bottle,70.0,RP,96
Tommasi Casisano Brunello di Montalcino 2010,"Tuscany, Italy",750,bottle,70.0,JS,93
Ferrer Bobet Vinyes Velles 2015,"Priorat, Spain",750,bottle,70.0,DWWA,97
Duckhorn Napa Merlot 2017,"California, USA",750,bottle,70.0,JS,92
Emmolo Merlot 2017,"California, USA",750,bottle,70.0,none,0
Laurus Hermitage 2014,"Rhône, France",750,bottle,70.0,WS,91
Joseph Jewell Grist Vineyard Zinfandel 2016,"California, USA",750,bottle,70.0,WE,93
Famille Perrin Domaine du Clos des Tourelles Gigondas 2016,"Rhône, France",750,bottle,70.0,JD,99
Guerrieri Rizzardi Villa Rizzardi Amarone della Valpolicella Classico 2013,"Veneto, Italy",750,bottle,70.0,GR,3
Xavier Vignon Châteauneuf-du-Pape XV 2016,"Rhône, France",750,bottle,70.0,RP,94
Château Croizet-Bages 2017,"Bordeaux, France",750,bottle,70.0,WE,93
Castello Banfi Summus 2015,"Tuscany, Italy",750,bottle,70.0,WS,94
Carpineto Riserva Vino Nobile Di Montepulciano 2007,"Tuscany, Italy",750,bottle,70.0,WS,91
Cortonesi La Mannella Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,70.0,JS,94
Fontanafredda Proprietà in Fontanafredda MGA Barolo 2013,"Piedmont, Italy",750,bottle,70.0,WS,95
Caymus Suisun Grand Durif 2017,"California, USA",750,bottle,70.0,none,0
Wild Earth Earth and Sky Reserve Pinot Noir 2014,"Central Otago, New Zealand",750,bottle,70.0,WO,97
Borgo Scopeto Gran Selezione Chianti Classico,Italy,750,bottle,70.0,none,0
Montes Purple Angel 2017,"Colchagua Valley, Chile",750,bottle,69.95,JS,98
Masi Riserva di Costasera Amarone della Valpolicella Classico 2013,"Veneto, Italy",750,bottle,69.95,JS,95
Banfi Poggio alle Mura Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,69.95,JS,97
The Foreign Affair Apologetic Red 2017,"Ontario, Canada",750,bottle,69.95,none,0
Proprietà in Fontanafredda Barolo 2013,"Piedmont, Italy",750,bottle,69.95,WS,95
Palazzo Brunello di Montalcino,Italy,750,bottle,69.95,none,0
Ruffino Romitorio di Santedame Gran Selezione Chianti Classico 2016,"Tuscany, Italy",750,bottle,69.95,RP,93
Austin Hope Cabernet Sauvignon 2018,"California, USA",750,bottle,69.95,WE,95
Crossbarn Napa Valley Cabernet Sauvignon 2016,"California, USA",750,bottle,69.95,RP,92
Château Deyrem Valentin 2015,"Bordeaux, France",750,bottle,69.95,WE,93
Rodney Strong Reserve Cabernet Sauvignon 2015,"California, USA",750,bottle,69.95,DWWA,97
Gianfranco Bovio Gattera Barolo 2015,"Piedmont, Italy",750,bottle,69.95,JS,96
Dowie Doole Cali Road Shiraz 2016,Australia,750,bottle,69.85,none,0
Château Poujeaux 2016,"Bordeaux, France",750,bottle,69.85,DEC,93
Château La Louvière 2016,"Bordeaux, France",750,bottle,69.85,WS,91
Largeot Beaune 1er cru les Beaumont 2016,"Burgundy, France",750,bottle,69.75,none,0
Castello Sonnino San Leone Toscana IGT 2009,Italy,750,bottle,69.5,none,0
Perrin C Aloxe Corton Les Boutieres 2016,"Burgundy, France",750,bottle,69.4,none,0
Corazon del Sol Block 22 Syrah 2014,Argentina,750,bottle,69.2,none,0
Nicolay Cote de Nuits Villages Montagnes 2016,"Burgundy, France",750,bottle,69.1,none,0
Castello di Bossi Girolamo 2013,"Tuscany, Italy",750,bottle,69.0,VIN,94
Argiano Brunello di Montalcino,"Tuscany, Italy",750,bottle,69.0,none,0
Numanthia 2011,"Toro, Spain",750,bottle,69.0,RP,92
Punset Campo Quadro Barbaresco 2011,"Piedmont, Italy",750,bottle,69.0,none,0
Lang & Reed Two Fourteen Cabernet Franc 2013,"California, USA",750,bottle,69.0,WE,91
Monte da Ravasqueira MR Premium Red 2014,"Alentejo, Portugal",750,bottle,69.0,WE,93
Voyager Estate Cabernet Sauvignon 2014,"Western Australia, Australia",750,bottle,69.0,AWC,98
E. Guigal Châteauneuf-du-Pape,France,750,bottle,69.0,none,0
Marchesi de' Frescobaldi Mormoreto 2015,"Tuscany, Italy",750,bottle,69.0,JS,94
Lingua Franca Avni Pinot Noir 2016,"Oregon, USA",750,bottle,69.0,none,0
Château Les Ormes 2012,"Bordeaux, France",750,bottle,69.0,DWWA,95
San Felice Campogiovanni Brunello di Montalcino 2015,"Tuscany, Italy",750,bottle,69.0,WS,92
Val di Suga Riserva Brunello di Montalcino 2013,"Tuscany, Italy",750,bottle,69.0,JS,94
Schubert Block B Pinot Noir 2017,"Wairarapa, New Zealand",750,bottle,69.0,JS,95
Flora Springs Cabernet Sauvignon,USA,750,bottle,69.0,none,0
Clos Beauregard 2015,"Bordeaux, France",750,bottle,69.0,JS,94
Salvatore Molettieri Vigna Cinque Querce Taurasi 2012,"Campania, Italy",750,bottle,69.0,WS,95
Le Ginestre Sottocastello di Novello Barolo 2015,"Piedmont, Italy",750,bottle,69.0,JS,95
Col d'Orcia Olmaia Sant'Antimo Cabernet Sauvignon 2014,"Tuscany, Italy",750,bottle,69.0,VIN,93
Donatella Cinelli Colombini Brunello di Montalcino 2013,"Tuscany, Italy",750,bottle,68.95,JS,94
Nipozzano Vecchie Viti Riserva Chianti Rúfina 2015,"Tuscany, Italy",1500,bottle,68.95,RP,93
