name,region,size-mL,container,price,critic,critic_score
Luce 2017,"Tuscany, Italy",6000,bottle,1230.0,JS,97
Promontory,"California, USA",750,bottle,1200.0,VIN,100
Château Margaux 2012,"Bordeaux, France",750,bottle,1200.0,RP,96
Château Haut-Brion 2016,"Bordeaux, France",750,bottle,1178.85,RP,97
Château Haut-Brion 2016,"Bordeaux, France",750,bottle,1178.85,RP,97
Château Beausejour Duffau-Lagarosse,"Bordeaux, France",1500,bottle,1175.0,none,0
Bryant Family Vineyard Cabernet Sauvignon 2016,"California, USA",750,bottle,1150.0,RP,100
Château Margaux 2006,"Bordeaux, France",750,bottle,1145.0,RP,94
Henschke Hill of Grace Shiraz 2014,"South Australia, Australia",750,bottle,1130.0,AWC,98
Sassicaia 2017,"Tuscany, Italy",3000,bottle,1115.0,WE,97
Biondi Santi Riserva Brunello di Montalcino 1998,"Tuscany, Italy",750,bottle,1105.0,RP,97
Château Canon 2015,"Bordeaux, France",1500,bottle,1100.0,RP,98
Tignanello 1997,"Tuscany, Italy",1500,bottle,1090.0,WS,96
Marchesi di Barolo Barolo 1974,"Piedmont, Italy",750,bottle,1089.0,none,0
Château Haut-Bailly 2009,"Bordeaux, France",1500,bottle,1060.0,RP,100
Fontanafredda Riserva Barolo 1967,"Piedmont, Italy",750,bottle,1055.0,none,0
Château Haut-Brion 2006,"Bordeaux, France",750,bottle,1043.0,RP,96
Kapcsándy Grand Vin Cabernet Sauvignon 2014,"California, USA",750,bottle,1039.0,VIN,98
Château Rauzan-Ségla 2015,"Bordeaux, France",3000,bottle,1020.0,RP,97
Wakefield The Legacy Cabernet Sauvignon 2014,"South Australia, Australia",750,bottle,995.0,TRR,98
Clarnedon Hills Astralis Syrah 2005,"South Australia, Australia",1500,bottle,993.0,RP,99
AF Gros Richebourg Grand Cru 2013,France,750,bottle,990.2,none,0
Masi Mazzano Amarone della Valpolicella Classico 2006,"Veneto, Italy",3000,bottle,990.0,WS,94
Château Palmer 2000,"Bordeaux, France",750,bottle,980.0,WS,96
Château Palmer 2005,"Bordeaux, France",750,bottle,980.0,RP,97
Château Palmer 2010,"Bordeaux, France",750,bottle,980.0,RP,98
Fontanafredda Riserva Barolo 1974,"Piedmont, Italy",750,bottle,980.0,none,0
Château Pichon-Longueville Baron 2010,"Bordeaux, France",1500,bottle,950.0,RP,97
Clos Fourtet 2005,"Bordeaux, France",1500,bottle,950.0,RP,98
Colgin IX Estate Red 2016,"California, USA",750,bottle,950.0,RP,100
Luce 2000,"Tuscany, Italy",3000,bottle,946.0,WE,92
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino (Magnum) 2004,"Tuscany, Italy",1500,bottle,946.0,VIN,95
Alión,"Ribera del Duero, Spain",3000,bottle,930.0,none,0
Roberto Voerzio Torriglione Barolo 2014,"Piedmont, Italy",1500,bottle,930.0,none,0
Continuum 2016,"California, USA",1500,bottle,930.0,VIN,100
Maison Leroy Gevrey-Chambertin 2015,"Burgundy, France",750,bottle,920.0,none,0
Col d'Orcia Brunello di Montalcino (Magnum) 1999,"Tuscany, Italy",1500,bottle,919.0,VIN,93
Macán Clásico,"Rioja, Spain",6000,bottle,916.0,none,0
Antinori Guado al Tasso 1996,"Tuscany, Italy",1500,bottle,911.0,WS,94
Torbreck The Laird 2010,"South Australia, Australia",750,bottle,900.0,RP,98
Maison Leroy Pommard 2003,"Burgundy, France",750,bottle,900.0,none,0
Château Ausone 2013,"Bordeaux, France",750,bottle,899.85,RP,93
M. Chapoutier Châteauneuf-du-Pape Barbe Rac 2009,"Rhône, France",3000,bottle,894.0,RP,96
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino (Magnum) 2001,"Tuscany, Italy",1500,bottle,894.0,VIN,94
Biondi Santi Riserva Brunello di Montalcino 2012,"Tuscany, Italy",750,bottle,890.0,WE,100
Château La Mission Haut-Brion 2016,"Bordeaux, France",750,bottle,884.85,RP,98
Château La Mission Haut-Brion 2016,"Bordeaux, France",750,bottle,884.85,RP,98
Château La Mission Haut-Brion 2016,"Bordeaux, France",750,bottle,884.85,RP,98
Maya 2015,"California, USA",750,bottle,875.0,JD,100
Joseph Phelps Insignia 2016,"California, USA",1500,bottle,865.0,RP,99
Louis Latour Les Quatre Journaux Romanée Saint-Vivant Grand Cru 2017,"Burgundy, France",750,bottle,860.0,JS,95
Domaine Ponsot Cuvée Vieilles Vignes Clos de la Roche Grand Cru 2016,"Burgundy, France",750,bottle,850.0,RP,97
Domaine Ponsot Cuvée Vieilles Vignes Clos de la Roche Grand Cru 2017,"Burgundy, France",750,bottle,850.0,RP,96
Luce Lux Vitis,Italy,3000,bottle,850.0,none,0
Masseto,Italy,750,bottle,840.0,none,0
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino (Magnum) 2008,"Tuscany, Italy",1500,bottle,840.0,VIN,95
Único Reserva Especial,"Ribera del Duero, Spain",750,bottle,830.0,RP,98
Château Pichon-Longueville Baron 2009,"Bordeaux, France",1500,bottle,829.0,RP,96
Marchesi di Barolo Barolo 1982,"Piedmont, Italy",750,bottle,822.0,none,0
Eisele Vineyard Cabernet Sauvignon 2016,"California, USA",750,bottle,820.0,RP,100
Gaja Sorì San Lorenzo 2015,"Piedmont, Italy",750,bottle,810.0,RP,95
Château Palmer 1999,"Bordeaux, France",750,bottle,810.0,RP,95
Gaja Sorì Tildìn Barbaresco 2015,"Piedmont, Italy",750,bottle,810.0,RP,93
Gaja Costa Russi 2015,"Piedmont, Italy",750,bottle,800.0,VIN,96
Nipozzano Mormoreto 2016,"Tuscany, Italy",6000,bottle,799.95,JS,94
Château Ducru-Beaucaillou 2009,"Bordeaux, France",750,bottle,795.0,RP,100
Maison Leroy Volnay Clos des Chenes 1er Cru 2011,"Burgundy, France",750,bottle,790.0,none,0
Macán,"Rioja, Spain",3000,bottle,786.0,none,0
Domaine de la Romanée-Conti Grands Échézeaux Grand Cru 2015,"Burgundy, France",750,bottle,785.0,DEC,97
Soldera Basse Sangiovese,Italy,750,bottle,783.0,none,0
Hundred Acre Ark Vineyard Cabernet Sauvignon 2016,"California, USA",750,bottle,775.0,none,0
Solaia 2000,"Tuscany, Italy",750,bottle,772.0,WS,92
Dalla Valle Maya 2012,"California, USA",750,bottle,768.0,RP,98
Solaia 2000,"Tuscany, Italy",750,bottle,765.0,WS,92
Col d'Orcia Brunello di Montalcino (Magnum) 1997,"Tuscany, Italy",1500,bottle,762.0,VIN,94
Louis Latour Château Corton Grancey Grand Cru 2012,"Burgundy, France",3000,bottle,755.0,WE,93
Château Léoville Poyferré 1996,"Bordeaux, France",1500,bottle,735.0,RP,93
M. Chapoutier le Pavillon Ermitage 2012,"Rhône, France",750,bottle,733.0,RP,100
Château Léoville Las Cases 1989,"Bordeaux, France",750,bottle,725.0,WS,96
Castelgiocondo Ripe al Convento Riserva Brunello di Montalcino 2013,"Tuscany, Italy",3000,bottle,719.95,JS,97
Château d'Armailhac 2010,"Bordeaux, France",3000,bottle,714.0,RP,93
Solaia 2004,"Tuscany, Italy",750,bottle,712.0,WS,97
Château Canon 2009,"Bordeaux, France",1500,bottle,700.0,RP,97
Lokoya Spring Mountain Cabernet Sauvignon 2016,"California, USA",750,bottle,699.0,RP,97
Château Montrose 2009,"Bordeaux, France",750,bottle,699.0,RP,100
Lokoya Howell Mountain Cabernet Sauvignon 2016,"California, USA",750,bottle,699.0,RP,98
Château Palmer,"Bordeaux, France",750,bottle,699.0,none,0
Paul Hobbs Beckstoffer To Kalon Cabernet Sauvignon 2015,"California, USA",750,bottle,690.0,RP,98
Solaia 2005,"Tuscany, Italy",750,bottle,685.0,WS,97
Château Canon 2005,"Bordeaux, France",1500,bottle,670.0,RP,95
Remoissenet Père et Fils Chapelle Chambertin Grand Cru 2014,"Burgundy, France",1500,bottle,665.0,BH,92
Remoissenet Père et Fils Clos St. Denis Grand Cru 2014,"Burgundy, France",1500,bottle,665.0,RP,91
Remoissenet Père et Fils Clos Vougeot Grand Cru 2014,"Burgundy, France",1500,bottle,665.0,BH,91
Château Palmer 2016,"Bordeaux, France",750,bottle,659.85,WE,99
Château Palmer 2016,"Bordeaux, France",750,bottle,659.85,WE,99
Lokoya Diamond Mountain Cabernet Sauvignon 2014,"California, USA",750,bottle,659.0,RP,96
Solaia 2006,"Tuscany, Italy",750,bottle,656.0,WS,97
Solaia 2006,"Tuscany, Italy",750,bottle,656.0,WS,97
Château Montrose 2009,"Bordeaux, France",750,bottle,655.0,RP,100
Vérité La Joie 2007,"California, USA",750,bottle,653.0,RP,100
Château Palmer 2004,"Bordeaux, France",750,bottle,650.0,RP,94
