title,region,country,score,num_reviews
Bryant Family Vineyard DB4 Cabernet Sauvignon,Napa Valley,United States,4.5,81
Château La France Bordeaux,Bordeaux,France,3.7,79
"Julia Hill Wines Julia Hill 2010 Shiraz - Coonawarra, South Australia",Coonawarra,Australia,3.7,21
Tenuta San Guido Sassicaia,Bolgheri Sassicaia,Italy,4.6,79429
Biondi-Santi Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.6,2811
Château Canon Montségur Bordeaux,Bordeaux,France,3.3,77
Antinori Tignanello,Toscana,Italy,4.5,102434
Marchesi di Barolo Grignolino Piemonte,Piemonte,Italy,3.4,402
Château Haut-Bailly Rosé de Haut-Bailly Bordeaux,Bordeaux,France,3.8,162
Fontanafredda Barolo Riserva,Barolo,Italy,4.1,1951
Château Larrivet Haut-Brion Le Bordeaux,Bordeaux,France,3.6,972
Kapcsandy State Lane Vineyard Cabernet Sauvignon Grand-Vin,Napa Valley,United States,4.6,662
Château Rauzan-Ségla Ségla Margaux,Margaux,France,4.1,9562
Taylors / Wakefield Jaraman Cabernet Sauvignon,South Australia,Australia,3.8,2518
Clarendon Hills Moritz Syrah,South Australia,Australia,4.1,407
A.F. Gros Richebourg Grand Cru,Richebourg Grand Cru,France,4.4,785
Masi Mazzano Amarone Della Valpolicella Classico,Amarone della Valpolicella Classico,Italy,4.5,2314
Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19
Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19
Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19
Fontanafredda Barolo Riserva,Barolo,Italy,4.1,1951
Flouch Château Pichon-Longueville Baron Pomerol,Pomerol,France,4.4,31
Clos Fourtet Saint-Émilion Grand Cru (Premier Grand Cru Classé),Saint-Émilion Grand Cru,France,4.3,5951
Colgin IX Estate Red,Napa Valley,United States,4.7,2004
Luce della Vite Luce,Toscana,Italy,4.4,12362
Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366
Alión Ribera del Duero,Ribera del Duero,Spain,4.4,49885
Roberto Voerzio Rocche dell'Annunziata Torriglione Barolo,Barolo,Italy,4.5,977
Scotto Family Cellars USA Cabernet,California,United States,3.4,83
Leroy Gevrey-Chambertin,Gevrey-Chambertin,France,4.3,230
Tenuta Col D'Orcia Riserva Brunello di Montalcino,Toscana,Italy,4.4,38
Benjamin de Rothschild - Vega Sicilia Macán Clásico,Rioja,Spain,4.3,9632
Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1193
Torbreck The Laird,Barossa Valley,Australia,4.7,417
Leroy Pommard 'Les Vignots',Pommard,France,4.4,328
Chateau Francesa Bordeaux,Bordeaux,France,0.0,0
M. Chapoutier Châteauneuf-du-Pape Barbe Rac,Châteauneuf-du-Pape,France,4.2,1439
Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366
Biondi-Santi Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.6,2811
Château La Mission Haut-Brion Bordeaux Grand Premier Cru,Bordeaux,France,4.6,24
Château La Mission Haut-Brion Bordeaux Grand Premier Cru,Bordeaux,France,4.6,24
Château La Mission Haut-Brion Bordeaux Grand Premier Cru,Bordeaux,France,4.6,24
Scotto Family Cellars USA Cabernet,California,United States,3.4,83
Joseph Phelps Insignia,Napa Valley,United States,4.6,23373
Louis Latour Romanée-Saint-Vivant Grand Cru Les Quatre Journaux,Romanée-Saint-Vivant Grand Cru,France,4.4,485
Domaine Ponsot Clos de la Roche Grand Cru Cuvée Vieilles Vignes,Clos de la Roche Grand Cru,France,4.4,1957
Domaine Ponsot Clos de la Roche Grand Cru Cuvée Vieilles Vignes,Clos de la Roche Grand Cru,France,4.4,1957
Luce della Vite Lux Vitis,Toscana,Italy,4.4,179
Masseo Sangiovese,Vino d'Italia,Italy,0.0,0
Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366
Vega Sicilia Unico Reserva Especial Edición,Ribera del Duero,Spain,4.7,10866
Flouch Château Pichon-Longueville Baron Pomerol,Pomerol,France,4.4,31
Marchesi di Barolo Grignolino Piemonte,Piemonte,Italy,3.4,402
Eisele Vineyard Cabernet Sauvignon,Napa Valley,United States,4.6,3073
Gaja Sorì San Lorenzo,Langhe,Italy,4.6,2841
Château La France Bordeaux Supérieur,Bordeaux Supérieur,France,3.3,2122
Gaja Sorì Tildìn (Barbaresco) Langhe,Langhe,Italy,4.6,2917
Gaja Costa Russi Grappa,Grappa di Barbaresco,Italy,3.9,31
Castello Nipozzano Mormoreto Toscana,Toscana,Italy,4.2,6483
Georg Bestle Chateau Ducru Beaucaillou Saint-Julien,Saint-Julien,France,4.1,39
Maison Roche de Bellene Collection Bellenum Volnay Premier Cru Clos des Chênes,Volnay 1er Cru 'Clos des Chênes',France,4.0,73
Benjamin de Rothschild - Vega Sicilia Macán Clásico,Rioja,Spain,4.3,9621
Domaine de La Romanée-Conti Grands-Échezeaux Grand Cru,Grands-Échezeaux Grand Cru,France,4.7,4756
Soldera Case Basse Sangiovese Toscana,Toscana,Italy,4.7,1084
Hundred Acre Ark Vineyard Cabernet Sauvignon,Howell Mountain,United States,4.7,2531
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843
Dalla Valle Maya,Oakville,United States,4.6,1043
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843
Tenuta Col D'Orcia Riserva Brunello di Montalcino,Toscana,Italy,4.4,38
Louis Latour Château Corton Grancey Grand Cru,Corton Grand Cru,France,4.3,3168
Château Leoville Bordeaux,Bordeaux,France,0.0,0
M. Chapoutier Ermitage Le Pavillon,Hermitage,France,4.5,2470
J. C. Teilmann & Cos Chateau Leoville Lascases Schroder & Schyler & Co Bordeaux,Bordeaux,France,0.0,0
Tenuta CastelGiocondo Ripe al Convento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,2839
Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843
Château Canon Montségur Bordeaux,Bordeaux,France,3.3,77
Lokoya Spring Mountain District Cabernet Sauvignon,Spring Mountain District,United States,4.6,320
Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19
Lokoya Howell Mountain Cabernet Sauvignon,Howell Mountain,United States,4.6,606
Chateau Francesa Bordeaux,Bordeaux,France,0.0,0
Paul Hobbs Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Oakville,United States,4.6,1112
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843
Grafé Lecocq Château Canon La Fôret Bordeaux,Bordeaux,France,3.5,18
Bouchard Père & Fils Chapelle-Chambertin Grand Cru,Chapelle-Chambertin Grand Cru,France,4.3,183
Remoissenet Père & Fils Clos Saint-Denis,Clos Saint-Denis Grand Cru,France,4.8,20
Remoissenet Père & Fils Clos Vougeot Grand Cru,Clos Vougeot Grand Cru,France,4.4,169
Château La France Bordeaux,Bordeaux,France,3.7,79
Château La France Bordeaux,Bordeaux,France,3.7,79
Lokoya Diamond Mountain District Cabernet Sauvignon,Diamond Mountain District,United States,4.5,560
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845
Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19
Verite La Joie,Sonoma County,United States,4.5,1605
Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19
Verite La Joie,Sonoma County,United States,4.5,1605
Verite La Muse,Sonoma County,United States,4.5,1350
Verite Le Desir,Sonoma County,United States,4.5,1147
Domaine d'Eugénie Échézeaux Grand Cru,Échezeaux Grand Cru,France,4.3,86
Vega Sicilia Unico,Ribera del Duero,Spain,4.7,33882
Château La France Bordeaux,Bordeaux,France,3.7,79
Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1193
Domaine Ponsot Clos de Vougeot Grand Cru Cuvée Vieilles Vignes,Clos Vougeot Grand Cru,France,4.4,148
Domaine Ponsot Clos de Vougeot Grand Cru Cuvée Vieilles Vignes,Clos Vougeot Grand Cru,France,4.4,148
Domaine Ponsot Chapelle-Chambertin Grand Cru,Chapelle-Chambertin Grand Cru,France,4.2,427
Domaine Sol Payré Cuvée Ivresse des Sens,Côtes du Roussillon,France,3.9,1133
Domaine Sol Payré Cuvée Ivresse des Sens,Côtes du Roussillon,France,3.9,1133
Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1193
Antinori Pian delle Vigne Brunello di Montalcino,Brunello di Montalcino,Italy,4.3,20389
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845
Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848
Quintarelli Giuseppe Veneto Alzero Cabernet,Veneto,Italy,4.7,1922
Roberto Voerzio Riserva vigneto Pozzo dell'Annunziata Barbera d'Alba,Barbera d'Alba,Italy,4.5,543
Antinori Pian delle Vigne Brunello di Montalcino,Brunello di Montalcino,Italy,4.3,20389
Amuse Bouche Red,Napa Valley,United States,4.3,23
Château Rauzan-Ségla Ségla Margaux,Margaux,France,4.1,9562
Au Sommet Cabernet Sauvignon,Atlas Peak,United States,4.6,877
Bonacchi Badesco Sangiovese - Cabernet Sauvignon - Merlot Toscana,Toscana,Italy,3.7,535
Lucien le Moine Chambertin-Clos de Beze Grand Cru,Chambertin-Clos de Bèze Grand Cru,France,4.3,214
Ornellaia Toscana Bianco,Toscana,Italy,4.4,378
Tenuta San Guido Sassicaia,Bolgheri Sassicaia,Italy,4.6,79429
Penfolds Bin 707 Cabernet Sauvignon,South Australia,Australia,4.5,4828
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845
Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19
Converso Monasterio Santa Maria de Valbuena Ribera del Duero,Ribera del Duero,Spain,4.2,171
Pintia Toro,Toro,Spain,4.3,42470
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845
Chris Ringland Hoffmann Vineyard Shiraz,Barossa,Australia,4.5,115
Accendo Cellars Cabernet Sauvignon,Napa Valley,United States,4.6,135
Tua Rita Per Sempre Syrah Toscana,Toscana,Italy,4.5,352
Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1193
Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1193
Clos Frantin Chambertin Grand Cru,Chambertin Grand Cru,France,4.3,58
Tenuta Col D'Orcia Riserva Brunello di Montalcino,Toscana,Italy,4.4,38
Lucien le Moine Mazis-Chambertin Grand Cru,Mazis-Chambertin Grand Cru,France,4.3,119
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848
Scotto Family Cellars USA Cabernet,California,United States,3.4,83
Paul Hobbs Nathan Coombs Estate Cabernet Sauvignon,Coombsville,United States,4.6,198
Château Canon Montségur Bordeaux,Bordeaux,France,3.3,77
Tenuta CastelGiocondo Brunello di Montalcino,Brunello di Montalcino,Italy,4.2,38168
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845
E. Guigal Côte-Rôtie La Mouline,Côte-Rôtie,France,4.6,3193
E. Guigal Côte-Rôtie La Landonne,Côte-Rôtie,France,4.5,2924
Dulong Château Pontet Nivelle Bordeaux,Bordeaux,France,3.1,471
A. de Luze Château Beychevelle Bordeaux,Bordeaux,France,4.3,13
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24845
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848
Domaine de La Romanée-Conti Échezeaux Grand Cru,Échezeaux Grand Cru,France,4.6,3520
Lucien le Moine Chambolle-Musigny Premier Cru Les Amoureuses,Chambolle-Musigny Premier Cru,France,4.3,184
Château La France Bordeaux,Bordeaux,France,3.7,79
Louis Jadot Clos Saint-Denis Grand Cru,Clos Saint-Denis Grand Cru,France,4.2,200
Roger Sabon Châteauneuf-du-Pape Le Secret Des Sabon,Châteauneuf-du-Pape,France,4.4,652
Château Lynch-Bages Blanc de Lynch-Bages,Bordeaux,France,4.0,2422
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848
Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1193
Domaine d'Eugénie Clos de Vougeot Grand Cru,Clos Vougeot Grand Cru,France,4.4,466
Ovid Hexameter,Napa Valley,United States,4.7,257
Gaja Pieve Santa Restituta Rennina Brunello di Montalcino,Brunello di Montalcino,Italy,4.5,2486
Fontanafredda Barolo Riserva,Barolo,Italy,4.1,1951
Ovid Red Blend,Napa Valley,United States,4.7,1059
Flouch Château Pichon-Longueville Baron Pomerol,Pomerol,France,4.4,31
E. Guigal Côte-Rôtie La Turque,Côte-Rôtie,France,4.6,3393
Château Rauzan-Ségla Ségla Margaux,Margaux,France,4.1,9562
E. Guigal Ermitage Ex-Voto,Hermitage,France,4.4,1173
Hubert Lignier Charmes-Chambertin Grand Cru,Charmes-Chambertin Grand Cru,France,4.4,255
Le Secret Des Sabon Châteauneuf-du-Pape,Southern Rhône,France,4.3,36
Verite La Joie,Sonoma County,United States,4.5,1605
Verite Le Desir,Sonoma County,United States,4.5,1147
