name,region,country,num_reviews,rating,acidity,fizziness,intensity,sweetness,tannin,varietal,body
Château Trotanoy Pomerol 1961,Pomerol,France,29,4.9,3.4172974,None,4.1551137,1.7368987,3.5783994,Pomerol,Full-bodied
Schrader Cabernet Sauvignon CCS Beckstoffer To Kalon Vineyard 2006,Oakville,United States,29,4.9,3.3541267,None,4.4710093,1.8318447,3.2117696,Cabernet Sauvignon,Very full-bodied
Domaine de La Romanée-Conti Échezeaux Grand Cru 1994,Échezeaux Grand Cru,France,29,4.9,4.2173915,None,3.0080376,2.0271869,2.5713332,Côte de Nuits Red,Medium-bodied
Tom Scott Barn Burner Cabernet Sauvignon 2010,Napa Valley,United States,28,4.9,3.5145,None,4.4754,1.7569001,3.8986,Cabernet Sauvignon,Very full-bodied
Giacomo Conterno Barolo Riserva Monfortino 1974,Barolo,Italy,28,4.9,4.599871,None,3.7609322,1.7011864,4.498555,Barolo,Very full-bodied
Domaine de La Romanée-Conti Richebourg Grand Cru 2016,Richebourg Grand Cru,France,27,4.9,4.1953654,None,3.009423,2.0274992,2.58975,Côte de Nuits Red,Medium-bodied
Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 1953,Pessac-Léognan,France,26,4.9,4.256596,None,4.075214,1.6653919,4.264168,Pessac-Léognan,Full-bodied
Harris Estate Vineyards Jake's Creek Vineyard Cabernet Sauvignon 2007,Calistoga,United States,25,4.9,3.2985804,None,4.814548,1.5300969,3.1613872,Cabernet Sauvignon,Very full-bodied
Seven Stones Cabernet Sauvignon 2015,Napa Valley,United States,25,4.9,3.1674442,None,4.8269844,1.4928039,3.4559183,Cabernet Sauvignon,Very full-bodied
Don Melchor Cabernet Sauvignon 2008,,,27,4.9,,,,,,,
Quintarelli Giuseppe Veneto Alzero Cabernet 1993,Veneto,Italy,25,4.9,2.2652242,None,4.0943675,2.768921,2.9492025,Red,Full-bodied
El Canto de la Alondra El Sueño de la Alondra 2016,Ribera del Duero,Spain,25,4.9,2.7016523,None,4.6045218,2.4271305,3.7166088,Tempranillo,Full-bodied
Casa Ferreirinha Barca Velha Douro 2000,Douro,Portugal,1619,4.8,2.9529364,None,4.379745,1.8254824,3.4999285,Douro Red,Very full-bodied
Vega Sicilia Unico 1999,Ribera del Duero,Spain,1524,4.8,3.7332723,None,3.8276727,1.7499158,3.443107,Ribera Del Duero Red,Very full-bodied
Casa Ferreirinha Barca Velha Douro 1999,Douro,Portugal,1285,4.8,2.9529364,None,4.379745,1.8254824,3.4999285,Douro Red,Very full-bodied
Vega Sicilia Unico 1996,Ribera del Duero,Spain,1177,4.8,3.7332723,None,3.8276727,1.7499158,3.443107,Ribera Del Duero Red,Very full-bodied
Château Latour Grand Vin Pauillac (Premier Grand Cru Classé) 1982,Pauillac,France,1125,4.8,4.1698503,None,4.1402993,1.6569527,4.1834526,Pauillac,Full-bodied
Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 1989,Pessac-Léognan,France,1119,4.8,4.256596,None,4.075214,1.6653919,4.264168,Pessac-Léognan,Full-bodied
Vega Sicilia Unico 1998,Ribera del Duero,Spain,1096,4.8,3.7332723,None,3.8276727,1.7499158,3.443107,Ribera Del Duero Red,Very full-bodied
Casa Ferreirinha Barca Velha Douro 1995,Douro,Portugal,1069,4.8,2.9529364,None,4.379745,1.8254824,3.4999285,Douro Red,Very full-bodied
Château Margaux Château Margaux (Premier Grand Cru Classé) 2000,Margaux,France,1014,4.8,4.1732483,None,3.6657124,1.6186662,3.8212173,Margaux,Full-bodied
Pétrus Pomerol 1989,Pomerol,France,858,4.8,3.3909369,None,4.151029,1.9745587,3.4794216,Pomerol,Full-bodied
Vega Sicilia Unico 1995,Ribera del Duero,Spain,808,4.8,3.7332723,None,3.8276727,1.7499158,3.443107,Ribera Del Duero Red,Very full-bodied
Viña Cobos Cobos Marchiori Vineyard Malbec 2015,Mendoza,Argentina,771,4.8,2.5674157,None,4.063019,2.2294407,2.620468,Malbec,Very full-bodied
Quintarelli Giuseppe Amarone della Valpolicella Classico 2003,Amarone della Valpolicella Classico,Italy,748,4.8,2.3769438,None,4.583521,3.2979383,2.3437848,Amarone,Very full-bodied
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,Pauillac,France,746,4.8,4.1528506,None,4.0184207,1.6474044,4.1554747,Pauillac,Full-bodied
Masseto Toscana 2006,Toscana,Italy,656,4.8,3.1324406,None,3.5492978,2.0031588,3.130876,Red,Medium-bodied
Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1990,Saint-Émilion Grand Cru,France,649,4.8,3.3827333,None,4.0137753,1.7223319,3.4704292,Saint-Émilion,Full-bodied
Masseto Toscana 2005,Toscana,Italy,641,4.8,3.1324406,None,3.5492978,2.0031588,3.130876,Red,Medium-bodied
Viña Cobos Cobos Volturno 2013,Perdriel,Argentina,618,4.8,2.8377512,None,4.1324453,2.2089527,3.112988,Cabernet - Malbec,Full-bodied
Vega Sicilia Unico Reserva Especial Edición 2015,Ribera del Duero,Spain,610,4.8,3.7113333,None,3.835357,1.8192544,3.4910128,Ribera Del Duero Red,Very full-bodied
Tenuta San Guido Sassicaia 1985,Bolgheri Sassicaia,Italy,578,4.8,3.4898322,None,3.7741597,1.7319486,3.8858752,Bolgheri,Full-bodied
Cakebread Dancing Bear Ranch 2012,Howell Mountain,United States,546,4.8,3.8869476,None,4.8789268,1.6525066,3.4052014,Bordeaux Blend,Full-bodied
Vega Sicilia Unico Reserva Especial Edición 2016,Ribera del Duero,Spain,541,4.8,3.7113333,None,3.835357,1.8192544,3.4910128,Ribera Del Duero Red,Very full-bodied
Casa Ferreirinha Barca Velha Douro 1982,Douro,Portugal,459,4.8,2.9529364,None,4.379745,1.8254824,3.4999285,Douro Red,Very full-bodied
Viña Cobos Cobos Volturno 2010,Perdriel,Argentina,458,4.8,2.8377512,None,4.1324453,2.2089527,3.112988,Cabernet - Malbec,Full-bodied
Viña Cobos Cobos Marchiori Vineyard Malbec 2016,Mendoza,Argentina,448,4.8,2.5674157,None,4.063019,2.2294407,2.620468,Malbec,Very full-bodied
Hundred Acre Ark Vineyard Cabernet Sauvignon 2009,Howell Mountain,United States,437,4.8,3.4211895,None,4.6991367,1.9418329,3.5134757,Cabernet Sauvignon,Very full-bodied
